colorExpStim01_red_square	1	1	1
colorExpStim02_red_smallring	2	2	2
colorExpStim03_red_largering	3	3	3
colorExpStim04_red_+	4	4	4
colorExpStim05_red_X	5	5	5
colorExpStim06_green_square	6	6	6
colorExpStim07_green_smallring	7	7	7
colorExpStim08_green_largering	8	8	8
colorExpStim09_green_+	9	9	9
colorExpStim10_green_X	10	10	10
colorExpStim11_blue_square	11	11	11
colorExpStim12_blue_smallring	12	12	12
colorExpStim13_blue_largering	13	13	13
colorExpStim14_blue_+	14	14	14
colorExpStim15_blue_X	15	15	15
colorExpStim16_yellow_square	16	16	16
colorExpStim17_yellow_smallring	17	17	17
colorExpStim18_yellow_largering	18	18	18
colorExpStim19_yellow_+	19	19	19
colorExpStim20_yellow_X	20	20	20
colorExpStim21_magenta_square	21	21	21
colorExpStim22_magenta_smallring	22	22	22
colorExpStim23_magenta_largering	23	23	23
colorExpStim24_magenta_+	24	24	24
colorExpStim25_magenta_X	25	25	25
colorExpStim26_cyan_square	26	26	26
colorExpStim27_cyan_smallring	27	27	27
colorExpStim28_cyan_largering	28	28	28
colorExpStim29_cyan_+	29	29	29
colorExpStim30_cyan_X	30	30	30
colorExpStim31_white_square	31	31	31
colorExpStim32_white_smallring	32	32	32
colorExpStim33_white_largering	33	33	33
colorExpStim34_white_+	34	34	34
colorExpStim35_white_X	35	35	35
colorExpStim36_black_square	36	36	36
colorExpStim37_black_smallring	37	37	37
colorExpStim38_black_largering	38	38	38
colorExpStim39_black_+	39	39	39
colorExpStim40_black_X	40	40	40
